Alarm,Text
ALARM11980,"Left Test-Site PnP auto teach failed, Planarity issue, not all nests found full vac within 0.030"" (0.762mm) of each other"
ALARM11981,"Left Test-Site PnP: Please check for lost device(s) before continuing. Open rear door, to continue push Clear"
ALARM12100,Right Test-Site PnP Undefined Alarm
ALARM12101,Right Test-Site PnP X-Axis unable to block Home sensor.
ALARM12102,Right Test-Site PnP X-Axis unable to move off Home sensor.
ALARM12103,Right Test-Site PnP X-Axis unable to Home.
ALARM12104,Right Test-Site PnP X-Axis unable to complete move. %s
ALARM12105,Right Test-Site PnP X-Axis unable to unblock sensor
ALARM12106,Right Test-Site PnP X-Axis failed to complete Drift Check.
ALARM12107,Right Test-Site PnP X-Axis unable to change torque.
ALARM12121,Right Test-Site PnP Z-Axis unable to block Home sensor.
ALARM12122,Right Test-Site PnP Z-Axis unable to move off Home sensor.
ALARM12123,Right Test-Site PnP Z-Axis unable to Home.
ALARM12124,Right Test-Site PnP Z-Axis unable to complete move. %s
ALARM12125,Right Test-Site PnP Z-Axis unable to unblock sensor
ALARM12126,Right Test-Site PnP Z-Axis failed to complete Drift Check.
ALARM12127,Right Test-Site PnP Z-Axis unable to change torque.
ALARM12150,Right Test-Site PnP pick operation unable to pick up parts on nest(s) %s.
ALARM12151,"Right Test-Site PnP found unexpected part on nest(s) %s. Open rear door, remove device to push Clear"
ALARM12152,"Right Test-Site PnP parts not Found on nest(s) %s, after z nests raise on a pick operation. Open rear door, remove device to push Clear"
ALARM12153,Right Test-Site PnP place operation unable to place parts on nest(s) %s.
ALARM12155,"Right Test-Site PnP lost part on nest(s) %s.  Open rear door, remove device to push Clear"
ALARM12157,Right Test-Site PnP failed to enable vacumn for nest(s) %s
ALARM12158,Right Test-Site PnP failed to disable vacumn for nest(s) %s
ALARM12159,Right Test-Site PnP failed to enable blowoff for nest(s) %s
ALARM12160,Right Test-Site PnP failed to disable blowoff for nest(s) %s
ALARM12161,Right Test-Site PnP Chuck(s) %s failed to extend.
ALARM12162,Right Test-Site PnP Chuck(s) %s failed to retract.
ALARM12163,"Handler's Contactor %s stuck device. Open rear door, remove device to push Clear"
ALARM12164,Right Test-Site PnP failed to disable unused vacuum channels.
ALARM12165,Right Test-Site PnP nest(s) %s found unexpected device in shuttle. Open door and remove parts to Clear
ALARM12166,Right Test-Site PnP failed to toggle the Chuck Pressure
ALARM12167,Right Test-Site PnP pick operation unable to pick up SCD parts on nest(s) %s.
ALARM12168,"Right Test-Site PnP SCD parts not Found on nest(s) %s, after z nests raise on a pick operation."
ALARM12169,"Right Test-Site PnP lost SCD part on nest(s) %s.  Open rear door, remove device to push Clear"
ALARM12170,Sensor indicates that not all chucks are retracted on Right Test-Site PnP
ALARM12171,Test site Vacuum Pump failed. Please fix and Retry
ALARM12172,"Handler's Contactor %s stuck SCD device. Open rear door, remove SCD device to push Clear"
ALARM12173,Right Test-Site PnP place operation unable to place SCD parts on nest(s) %s.
ALARM12174,Right Test-Site PnP Z-Axis failed to extend.
ALARM12175,Right Test-Site PnP Z-Axis failed to retract.
ALARM12176,Right Test-Site PnP auto teach unable to find edge of fixture hole.
ALARM12177,Right Test-Site PnP auto teach either tip(s) not positioned over fixture hole or full vacuum is too low.
ALARM12178,"Right Test-Site PnP auto teach failed to find z reference position within 0.5"""
ALARM12179,Right Test-Site PnP auto teach failed to find minimal vacuum when attempting to validate full vac
ALARM12180,"Right Test-Site PnP auto teach failed, Planarity issue, not all nests found full vac within 0.030"" (0.762mm) of each other"
ALARM12181,"Right Test-Site PnP: Please check for lost device(s) before continuing. Open rear door, to continue push Clear"
ALARM12301,Image Acquisition board failure
ALARM12302,Alignment camera failure
ALARM12303,Test Site PnP camera failure
ALARM12304,Contactor camera failure
ALARM12305,Tester camera failure
ALARM12306,Light controller board failure
ALARM12307,Vision Recipe not found
ALARM12308,Vision recipe failed validation
ALARM12309,Vision security dongle is missing or is invalid.
ALARM12310,Vision system configuration file is missing or is invalid.
ALARM12311,Communication error between Vision and TLC board.
ALARM12312,Device not found in camera image.
ALARM12313,Camera light cannot be turned on.
ALARM12314,Device not recognized.
ALARM12316,An error occurred during image processing.
ALARM12324,An error occurred during image capture.
ALARM12337,Vision recipe file read error.
ALARM12338,Camera Initialization error
ALARM12339,USB Camera Error.
ALARM12341,Vision recipe file save error.
ALARM12342,Vision system recipe file not found.
ALARM12347,Vision camera type configuration mismatch.
ALARM12401,Imaging board error
ALARM12406,TLC light controller error
ALARM12407,In Socket Vision Recipe not found
ALARM12410,Invalid or missing config file
ALARM12411,TLC communication error
ALARM12424,Image acquisition error
ALARM12438,Camera initialization error ( fix hardware issue and restart handler)
ALARM12439,USB Camera error(fix hardware issue and restart handler)
ALARM12500,Output PnP Undefined Alarm
ALARM12501,Output PnP X-Axis unable to block Home sensor.
ALARM12502,Output PnP X-Axis unable to move off Home sensor.
ALARM12503,Output PnP X-Axis unable to Home.
ALARM12504,Output PnP X-Axis unable to complete move. %s
ALARM12506,Output PnP X-Axis unable to complete drift check.
ALARM12507,Output PnP X-Axis unable to change torque.
ALARM12511,Output PnP Y-Axis unable to block Home sensor.
ALARM12512,Output PnP Y-Axis unable to move off Home sensor.
ALARM12513,Output PnP Y-Axis unable to Home.
ALARM12514,Output PnP Y-Axis unable to complete move. %s
ALARM12516,Output PnP Y-Axis unable to complete drift check.
ALARM12517,Output PnP Y-Axis unable to change torque.
ALARM12521,Output PnP Z-Axis unable to block Home sensor.
ALARM12522,Output PnP Z-Axis unable to move off Home sensor.
ALARM12523,Output PnP Z-Axis unable to Home.
ALARM12524,Output PnP Z-Axis unable to complete move. %s
ALARM12526,Output PnP Z-Axis unable to complete drift check.
ALARM12527,Output PnP Z-Axis unable to change torque.
ALARM12531,Output PnP X-PitchB Axis unable to block Home sensor.
ALARM12532,Output PnP X-PitchB Axis unable to move off Home sensor.
ALARM12533,Output PnP X-PitchB Axis unable to Home.
ALARM12534,Output PnP X-PitchB Axis unable to complete move. %s %s
ALARM12536,Output PnP X-PitchB Axis unable to complete drift check. %s %s
ALARM12537,Output PnP X-PitchB Axis unable to change torque.
ALARM12541,Output PnP X-Pitch Axis unable to block Home sensor.
ALARM12542,Output PnP X-Pitch Axis unable to move off Home sensor.
ALARM12543,Output PnP X-Pitch Axis unable to Home.
ALARM12544,Output PnP X-Pitch Axis unable to complete move. %s
ALARM12546,Output PnP X-Pitch Axis unable to complete drift check.
ALARM12547,Output PnP X-Pitch Axis unable to change torque.
ALARM12551,Output PnP Y-Pitch Axis unable to block Home sensor.
ALARM12552,Output PnP Y-Pitch Axis unable to move off Home sensor.
ALARM12553,Output PnP Y-Pitch Axis unable to Home.
ALARM12554,Output PnP Y-Pitch Axis unable to complete move. %s
ALARM12556,Output PnP Y-Pitch Axis unable to complete drift check.
ALARM12557,Output PnP Y-Pitch Axis unable to change torque.
ALARM12560,Output PnP pick operation unable to pick up parts on Z-Head(s) %s at %s.
ALARM12561,"Output PnP unexpected part found on Z-Head(s) %s, before pick operation at %s."
ALARM12562,"Output PnP parts not found on Z-Head(s) %s, after Z-Heads raise on a pick operation at %s."
ALARM12563,Output PnP place operation unable to place parts on Z-Head(s) %s at %s.
ALARM12564,"Output PnP unexpected parts found on Z-Head(s) %s, before the place operation at %s."
ALARM12565,Output PnP parts not found on Z-Head(s) %s before Z-Axis goes down for place operation at %s.
ALARM12566,Output PnP unable to enable clutch for Z-Head(s) %s.
ALARM12567,Output PnP unable to disable clutch for Z-Head(s) %s.
ALARM12568,Output PnP detected part present mismatch on Z-Head(s) %s during recovery.
ALARM12569,Output PnP clutch in wrong state for Z-Head(s) %s.
ALARM12570,Unexpected part found in %s pocket(s) %s.
ALARM12571,Output PnP auto teach unable to find edge of fixture hole.
ALARM12572,Output PnP auto teach either tip(s) not positioned over fixture hole or full vacuum is too low.
ALARM12573,"Output PnP auto teach failed to find z reference position within 0.75"""
ALARM12574,Output PnP auto teach failed to find at least 4inHg when attempting to validate full vac
ALARM12575,"Output PnP auto teach failed, Planarity issue, not all nests found full vac within 0.060"" (1.524mm) of each other"
ALARM12590,Left Output Shuttle Door unable to open.
ALARM12591,Right Output Shuttle Door unable to open.
ALARM12592,Left Output Shuttle Door unable to close.
ALARM12593,Right Output Shuttle Door unable to close.
ALARM12700,Contactor Undefined Alarm
ALARM12701,Contactor Z-Axis unable to block Home sensor.
ALARM12702,Contactor Z-Axis unable to move off Home sensor.
ALARM12703,Contactor Z-Axis unable to Home.
ALARM12704,Contactor Z-Axis unable to complete move. %s
ALARM12706,Contactor Z-Axis unable to drift check. %s
ALARM12707,Contactor Z-Axis unable to change torque.
ALARM12721,Remove part(s) from contactor socket row(s) %s.
ALARM12722,Part in contactor sensor for row(s) %s are not working when chucks are inserted into the contactor.
ALARM12951,Continuity sensor failure for handler's sites (%s)
ALARM12952,Vision Has not received all trigger(s) during on the fly capture motion
ALARM12953,Camera found a device in the Contactor %s
ALARM12954,Camera was unable to capture the contactor image for the %s side
ALARM12955,Software Timeout waiting for %s Camera results
ALARM13103,Vision Alignment Hardware Controller Site %s Motor_1 axis failed to home
ALARM13104,Vision Alignment Site %s Motor_1 axis failed to complete move. %s
ALARM13107,Vision Alignment Site %s Motor_1 vacuum lock failed to turn on. %s
ALARM13108,Vision Alignment Site %s Motor_1 vacuum lock failed to turn off. %s
ALARM13109,Vision Alignment Site %s continuity sensors monitor failed. %s
ALARM13110,Vision Alignment Site %s continuity sensors read failed. %s
ALARM13111,Vision Alignment Site %s vacuum lock failed to turn on. %s
ALARM13112,Vision Alignment Site %s vacuum lock failed to turn off. %s
ALARM13113,Vision Alignment Site %s air bearing failed to turn on. %s
ALARM13114,Vision Alignment Site %s air bearing failed to turn off. %s
ALARM13120,Vision Alignment Site %s cooling air failed to turn on. %s
ALARM13121,Vision Alignment Site %s cooling air failed to turn off. %s
ALARM13128,Vision Alignment Hardware Controller Site %s Motor_2 axis failed to home
ALARM13129,Vision Alignment Site %s Motor_2 axis failed to complete move. %s
ALARM13132,Vision Alignment Site %s Motor_2 vacuum lock failed to turn on. %s
ALARM13133,Vision Alignment Site %s Motor_2 vacuum lock failed to turn off. %s
ALARM13153,Vision Alignment Hardware Controller Site %s Motor_3 axis failed to home
ALARM13154,Vision Alignment Site %s Motor_3 axis failed to complete move. %s
ALARM13157,Vision Alignment Site %s Motor_3 vacuum lock failed to turn on. %s
ALARM13158,Vision Alignment Site %s Motor_3 vacuum lock failed to turn off. %s
ALARM13203,Vision Alignment Hardware Controller Site %s Motor_1 axis failed to home
ALARM13204,Vision Alignment Site %s Motor_1 axis failed to complete move. %s
ALARM13207,Vision Alignment Site %s Motor_1 vacuum lock failed to turn on. %s
ALARM13208,Vision Alignment Site %s Motor_1 vacuum lock failed to turn off. %s
ALARM13209,Vision Alignment Site %s continuity sensors monitor failed. %s
ALARM13210,Vision Alignment Site %s continuity sensors read failed. %s
ALARM13228,Vision Alignment Hardware Controller Site %s Motor_2 axis failed to home
ALARM13229,Vision Alignment Site %s Motor_2 axis failed to complete move. %s
ALARM13232,Vision Alignment Site %s Motor_2 vacuum lock failed to turn on. %s
ALARM13233,Vision Alignment Site %s Motor_2 vacuum lock failed to turn off. %s
ALARM13253,Vision Alignment Hardware Controller Site %s Motor_3 axis failed to home
ALARM13254,Vision Alignment Site %s Motor_3 axis failed to complete move. %s
ALARM13257,Vision Alignment Site %s Motor_3 vacuum lock failed to turn on. %s
ALARM13258,Vision Alignment Site %s Motor_3 vacuum lock failed to turn off. %s
ALARM13303,Vision Alignment Hardware Controller Site %s Motor_1 axis failed to home
ALARM13304,Vision Alignment Site %s Motor_1 axis failed to complete move. %s
ALARM13307,Vision Alignment Site %s Motor_1 vacuum lock failed to turn on. %s
ALARM13308,Vision Alignment Site %s Motor_1 vacuum lock failed to turn off. %s
ALARM13309,Vision Alignment Site %s continuity sensors monitor failed. %s
ALARM13310,Vision Alignment Site %s continuity sensors read failed. %s
ALARM13328,Vision Alignment Hardware Controller Site %s Motor_2 axis failed to home
ALARM13329,Vision Alignment Site %s Motor_2 axis failed to complete move. %s
ALARM13332,Vision Alignment Site %s Motor_2 vacuum lock failed to turn on. %s
ALARM13333,Vision Alignment Site %s Motor_2 vacuum lock failed to turn off. %s
ALARM13353,Vision Alignment Hardware Controller Site %s Motor_3 axis failed to home
ALARM13354,Vision Alignment Site %s Motor_3 axis failed to complete move. %s
ALARM13357,Vision Alignment Site %s Motor_3 vacuum lock failed to turn on. %s
ALARM13358,Vision Alignment Site %s Motor_3 vacuum lock failed to turn off. %s
ALARM13403,Vision Alignment Hardware Controller Site %s Motor_1 axis failed to home
ALARM13404,Vision Alignment Site %s Motor_1 axis failed to complete move. %s
ALARM13407,Vision Alignment Site %s Motor_1 vacuum lock failed to turn on. %s
ALARM13408,Vision Alignment Site %s Motor_1 vacuum lock failed to turn off. %s
ALARM13409,Vision Alignment Site %s continuity sensors monitor failed. %s
ALARM13410,Vision Alignment Site %s continuity sensors read failed. %s
ALARM13428,Vision Alignment Hardware Controller Site %s Motor_2 axis failed to home
ALARM13429,Vision Alignment Site %s Motor_2 axis failed to complete move. %s
ALARM13432,Vision Alignment Site %s Motor_2 vacuum lock failed to turn on. %s
ALARM13433,Vision Alignment Site %s Motor_2 vacuum lock failed to turn off. %s
ALARM13453,Vision Alignment Hardware Controller Site %s Motor_3 axis failed to home
ALARM13454,Vision Alignment Site %s Motor_3 axis failed to complete move. %s
ALARM13457,Vision Alignment Site %s Motor_3 vacuum lock failed to turn on. %s
ALARM13458,Vision Alignment Site %s Motor_3 vacuum lock failed to turn off. %s
ALARM13510,Testsite TIF Interface Read Docking sensor failure
ALARM14100,Boat Xport Undefined Alarm
ALARM14101,Boat Xport Conveyor unable to block Home sensor.
ALARM14102,Boat Xport Conveyor unable to move off Home sensor.
ALARM14103,Boat Xport Conveyor failed to home.
ALARM14104,Boat Xport Conveyor failed to move.
ALARM14105,Boat Xport Conveyor unable to move to sensor. %s
ALARM14106,Boat Xport Conveyor unable to check reset home. %s
ALARM14107,Boat Xport Conveyor unable to change torque.
ALARM14300,Input-Output PnP Undefined Alarm
ALARM14301,Input-Output PnP X-Axis unable to block Home sensor.
ALARM14302,Input-Output PnP X-Axis unable to move off Home sensor.
ALARM14303,Input-Output PnP X-Axis unable to Home.
ALARM14304,Input-Output PnP X-Axis unable to complete move. %s %s
ALARM14306,Input-Output PnP X-Axis unable to complete drift check. %s %s
ALARM14307,Input-Output PnP X-Axis unable to change torque.
ALARM14311,Input-Output PnP Y-Axis unable to block Home sensor.
ALARM14312,Input-Output PnP Y-Axis unable to move off Home sensor.
ALARM14313,Input-Output PnP Y-Axis unable to Home.
ALARM14314,Input-Output PnP Y-Axis unable to complete move. %s %s
ALARM14316,Input-Output PnP Y-Axis unable to complete drift check. %s %s
ALARM14317,Input-Output PnP Y-Axis unable to change torque.
ALARM14321,Input-Output PnP Z-Axis unable to block Home sensor.
ALARM14322,Input-Output PnP Z-Axis unable to move off Home sensor.
ALARM14323,Input-Output PnP Z-Axis unable to Home.
ALARM14324,Input-Output PnP Z-Axis unable to complete move. %s %s
ALARM14326,Input-Output PnP Z-Axis unable to complete drift check. %s %s
ALARM14327,Input-Output PnP Z-Axis unable to change torque.
ALARM14331,Input-Output PnP Z-Travel Axis unable to block Home sensor.
ALARM14332,Input-Output PnP Z-Travel Axis unable to move off Home sensor.
ALARM14333,Input-Output PnP Z-Travel Axis unable to Home.
ALARM14334,Input-Output PnP Z-Travel Axis unable to complete move. %s %s
ALARM14336,Input-Output PnP Z-Travel Axis unable to complete drift check. %s %s
ALARM14337,Input-Output PnP Z-Travel Axis unable to change torque.
ALARM14341,Input-Output PnP X-Pitch Axis unable to block Home sensor.
ALARM14342,Input-Output PnP X-Pitch Axis unable to move off Home sensor.
ALARM14343,Input-Output PnP X-Pitch Axis unable to Home.
ALARM14344,Input-Output PnP X-Pitch Axis unable to complete move. %s %s
ALARM14346,Input-Output PnP X-Pitch Axis unable to complete drift check. %s %s
ALARM14347,Input-Output PnP X-Pitch Axis unable to change torque.
ALARM14351,Input-Output PnP Y-Pitch Axis unable to block Home sensor.
ALARM14352,Input-Output PnP Y-Pitch Axis unable to move off Home sensor.
ALARM14353,Input-Output PnP Y-Pitch Axis unable to Home.
ALARM14354,Input-Output PnP Y-Pitch Axis unable to complete move. %s %s
ALARM14356,Input-Output PnP Y-Pitch Axis unable to complete drift check. %s %s
ALARM14357,Input-Output PnP Y-Pitch Axis unable to change torque.
ALARM14360,Input-Output PnP pick operation unable to pick up parts on Z-Head(s) %s at %s.
ALARM14361,"Input-Output PnP unexpected part on Z-Head(s) %s, found before pick operation at %s."
ALARM14362,"Input-Output PnP parts not found on Z-Head(s) %s, after Z-Heads raise on a pick operation at %s."
ALARM14363,Input-Output PnP place operation unable to place parts on Z-Head(s) %s at %s.
ALARM14364,"Input-Output PnP unexpected parts found on Z-Head(s) %s, before the place operation at %s."
ALARM14365,Input-Output PnP parts not found on Z-Head(s) %s before Z-Axis goes down for place operation at %s.
ALARM14366,Input-Output PnP unable to enable clutch for Z-Head(s) %s.
ALARM14367,Input-Output PnP unable to disable clutch for Z-Head(s) %s.
ALARM14368,Input-Output PnP detected part present mismatch on Z-Head(s) %s during recovery.
ALARM14369,Input-Output PnP clutch in wrong state for Z-Head(s) %s.
ALARM14370,Unexpected part found in %s pocket(s) %s.
ALARM14380,Input-Output PnP pick operation unable to pick up SCDs on Z-Head(s) %s at %s.
ALARM14382,"Input-Output PnP SCDs not found on Z-Head(s) %s, after Z-Heads raise on a pick operation at %s."
ALARM14383,Input-Output PnP place operation unable to place SCDs on Z-Head(s) %s at %s.
ALARM14385,Input-Output PnP SCDs not found on Z-Head(s) %s before Z-Axis goes down for place operation at %s.
ALARM14390,Left Output Shuttle Door unable to open.
ALARM14391,Right Output Shuttle Door unable to open.
ALARM14392,Left Output Shuttle Door unable to close.
ALARM14393,Right Output Shuttle Door unable to close.
ALARM14509,High Voltage not present OR within valid range.
ALARM14515,Maximum Heater temperature exceeded.
ALARM14519,Broken TH RTD detected.
ALARM14520,Broken TS RTD detected
ALARM14532,The ATC board heater temperature is less than the heat sink temperature.
ALARM14554,High Voltage is off or out of range
ALARM14555,Unknown ATC alarm.
